"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
345,09/06/17 11:00:00  PM,16.272,0.3300,14.601,78.200
346,09/07/17 12:00:00  AM,15.939,0.3300,13.449,83.700
347,09/07/17 01:00:00  AM,15.605,0.3293,13.064,87.200
348,09/07/17 02:00:00  AM,15.342,0.3293,12.871,88.500
349,09/07/17 03:00:00  AM,15.127,0.3300,11.394,89.100
350,09/07/17 04:00:00  AM,14.792,0.3286,10.492,91.200
351,09/07/17 05:00:00  AM,14.409,0.3279,10.075,92.600
352,09/07/17 06:00:00  AM,14.074,0.3271,10.001,93.700
353,09/07/17 07:00:00  AM,13.810,0.3271,9.854,94.400
354,09/07/17 08:00:00  AM,13.594,0.3264,11.734,94.900
355,09/07/17 09:00:00  AM,13.546,0.3271,15.294,94.200
356,09/07/17 10:00:00  AM,13.762,0.3271,17.510,82.100
357,09/07/17 11:00:00  AM,14.050,0.3271,19.056,70.800
358,09/07/17 12:00:00  PM,14.529,0.3279,18.105,69.400
359,09/07/17 01:00:00  PM,15.127,0.3300,15.223,78.300
360,09/07/17 02:00:00  PM,16.058,0.3308,18.485,75.600
361,09/07/17 03:00:00  PM,17.225,0.3300,18.794,69.500
362,09/07/17 04:00:00  PM,17.130,0.3300,17.677,64.700
363,09/07/17 05:00:00  PM,16.987,0.3308,17.629,67.800
364,09/07/17 06:00:00  PM,16.796,0.3300,15.294,70.100
365,09/07/17 07:00:00  PM,16.511,0.3300,15.008,72.700
366,09/07/17 08:00:00  PM,16.106,0.3300,13.305,77.300
367,09/07/17 09:00:00  PM,15.629,0.3300,12.944,82.400
368,09/07/17 10:00:00  PM,15.223,0.3293,12.389,85.000
369,09/07/17 11:00:00  PM,14.840,0.3293,11.856,85.900
370,09/08/17 12:00:00  AM,14.505,0.3293,11.394,88.000
371,09/08/17 01:00:00  AM,14.218,0.3293,11.248,90.400
372,09/08/17 02:00:00  AM,14.002,0.3279,12.001,91.900
373,09/08/17 03:00:00  AM,13.882,0.3286,12.171,91.600
374,09/08/17 04:00:00  AM,13.810,0.3279,11.516,90.100
375,09/08/17 05:00:00  AM,13.666,0.3279,11.127,90.400
376,09/08/17 06:00:00  AM,13.522,0.3279,11.078,90.700
377,09/08/17 07:00:00  AM,13.377,0.3271,10.614,91.100
